"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"96.23","25919.4","8299.7","0","8068","32029.1","19452","1949236","105811158","161517180928"
"96.57","25955.2","8299.7","0","8068","32065.6","19462","1949755","105842132","161595076608"
"96.92","25939.2","8299.7","0","8068","32042.1","19462.1","1952011","105860177","161669754880"
"97.27","25966.6","8299.7","0","8062","32066","19464.2","1953661","105896847","161866304512"
"97.63","25953.6","8299.7","0","8062","32065.2","19467.9","1954041","105977323","162195539456"
"97.98","25955.6","8299.7","0","8062","32066","19465.3","1954411","106057697","162524788224"
"98.34","25961.3","8299.7","0","8062","32066","19455.8","1954754","106134252","162837403136"
"98.7","25948.6","8299.7","0","8062","32058.8","19463","1954996","106176140","162946861056"
"99.05","25950.2","8299.7","0","8058","32065.1","19458.4","1955361","106234722","163237225472"
"99.42","25948.9","8299.7","0","8058","32066","19456.6","1955680","106305619","163541251072"
"99.77","25950.1","8299.7","0","8058","32066","19454.2","1956054","106380338","163837879296"
"100.12","25947.2","8299.7","0","8055","32066","19449.5","1956430","106453534","164133491712"
"100.47","25947.9","8299.7","0","8055","32068.5","19449.5","1956849","106512310","164323129344"
"100.84","25936.9","8299.7","0","8055","32059.1","19449.9","1956862","106512398","164323227648"
"101.2","25963","8299.7","0","8053","32088.6","19446.3","1956992","106531025","164437518336"
"101.55","26010.6","8299.7","0","8053","32131.3","19446.8","1957128","106540353","164437751808"
"101.91","26011.1","8299.7","0","8022","32136","19453.7","1957159","106540540","164438480896"
"102.25","25987.9","8299.7","0","8022","32114.3","19450.7","1957171","106540608","164438743040"
"102.59","25988","8299.7","0","8022","32116.8","19450.8","1957171","106540608","164438743040"
"102.93","25988","8299.7","0","8022","32114.7","19452.4","1957172","106540613","164438763520"
"103.26","26000.4","8299.7","0","8022","32129.7","19448.9","1957220","106550337","164561430528"
"103.6","26244","8299.7","0","8022","32363.5","19445.4","1957646","106645037","164919953408"
"103.95","26235.7","8299.7","0","8022","32360.4","19447.1","1958043","106718747","165218764288"
"104.31","26250.5","8299.7","0","8022","32360.5","19430.3","1958497","106808849","165607680512"
"104.69","26245.4","8299.7","0","8022","32360.2","19429.5","1958808","106860538","165771152896"
"105.03","26251.2","8299.7","0","8022","32359.1","19400.5","1959117","106923773","166062644736"
"105.39","26245.2","8299.7","0","8022","32360.4","19397.1","1959506","106995787","166368120320"
"105.73","26246.3","8299.7","0","8022","32360.5","19399","1959915","107070772","166667918848"
"106.09","26243.6","8299.7","0","8022","32359.5","19400","1960259","107142942","166980296192"
"106.44","26247.5","8299.7","0","8022","32361.9","19396.1","1960465","107178095","167057296896"
"106.79","26251.5","8299.7","0","8022","32360.4","19398","1960825","107236108","167359895040"
"107.14","26223.2","8299.7","0","8022","32360.5","19401.4","1961246","107315175","167685158400"
"107.49","26247.1","8299.7","0","8022","32360.5","19399.6","1961645","107398396","168009831936"
"107.84","26245.6","8299.7","0","8022","32360.5","19397.5","1962032","107472612","168314885632"
"108.2","26240.2","8299.7","0","8022","32185.3","19252.1","1962297","107497126","168356551680"
"108.55","26219.3","8299.7","0","8022","32185","19251.4","1962297","107497126","168395279360"
"108.9","26327.8","8299.7","0","8022","32284.4","19249","1962508","107525032","168470854656"
"109.23","26287","8299.7","0","8022","32242.8","19244.6","1962515","107525080","168471067648"
"109.59","26287.4","8299.7","0","8022","32241.7","19245.6","1962583","107525430","168472636416"
"109.92","26287.5","8299.7","0","8022","32254.5","19245.9","1962613","107525484","168472669184"
"110.26","26287.6","8299.7","0","8022","32274.5","19254.3","1962613","107525484","168472669184"
"110.61","26287.6","8299.7","0","8022","32262.8","19255","1962614","107525485","168472673280"
"110.96","26302.1","8299.7","0","8022","32283.1","19253","1962671","107536231","168578546688"
"111.34","26378.2","8299.7","0","8022","32356","19249.7","1963066","107619405","168932850688"
"111.71","26411.9","8299.7","0","8022","32380.2","19250.4","1963465","107694009","169235299328"
"112.05","26410.7","8299.7","0","8022","32379.2","19251","1963797","107768235","169520446464"
"112.39","26433.8","8299.7","0","8022","32386.5","19251.9","1964135","107844507","169803169792"
"112.74","26433.5","8299.7","0","8022","32383.3","19251.9","1964305","107869330","169941860352"
