"t_s","ws_mb","private_mb","gpu_proc_mb","gpu_total_mb","phys_used_mb","commit_mb","page_reads","pages_input","disk_read_b"
"47.47","24445.6","4057.8","0","3572","32208.9","15149.8","1779857","85973010","80201565696"
"47.83","24445.4","4057.8","0","3572","32202.5","15149.7","1780184","86028121","80502466048"
"48.17","24477.4","4057.8","0","3572","32242.1","15147.9","1780544","86112853","80844224000"
"48.52","24480.4","4057.8","0","3572","32242.1","15146.9","1780909","86191670","81157649920"
"48.88","24480.8","4057.8","0","3572","32238.9","15149.3","1781298","86274322","81518212608"
"49.24","24545.5","4057.8","0","3572","32339.2","15167.7","1782200","86310365","81608388096"
"49.6","24545.6","4057.8","0","3572","32458","15256","1783481","86321197","81653566976"
"49.94","24334.7","4057.8","0","3572","32252.4","15262.4","1783876","86357010","81778003456"
"50.28","24338.9","4057.8","0","3572","32263","15266.3","1783919","86358968","81784355840"
"50.62","24343.6","4057.8","0","3572","32274.1","15266.9","1784118","86359858","81785265152"
"50.99","24447.6","4057.8","0","3572","32383.3","15282","1784591","86396471","81940878336"
"51.35","24478.7","4057.8","0","3572","32415.7","15282.3","1784660","86404709","81968859136"
"51.69","24482.1","4057.8","0","3572","32427.8","15284","1784674","86405581","81976062464"
"52.07","24480.5","4057.8","0","3572","32439.6","15293.4","1785088","86419406","82120104448"
"52.44","24577.8","4057.8","0","3572","32537.1","15294","1785451","86493655","82395951104"
"52.8","24561.7","4057.8","0","3572","32537","15302.5","1785829","86557495","82668868608"
"53.14","24649.8","4057.8","0","3572","32485.5","15152.9","1786252","86644208","83024013312"
"53.52","24724","4057.8","0","3572","32537.9","15148.3","1786609","86726918","83358484480"
"53.86","24722.6","4057.8","0","3572","32537.9","15152.4","1786854","86770423","83507342336"
"54.22","24733.5","4057.8","0","3572","32536.9","15152.7","1787156","86840318","83817724928"
"54.58","24727.5","4057.8","0","3572","32537.9","15152.4","1787535","86915063","84127017984"
"54.91","24713.5","4057.8","0","3572","32537.9","15150.8","1787877","86989805","84415360000"
"55.27","24726.6","4057.8","0","3572","32536.9","15150.1","1788201","87061290","84730162176"
"55.61","24726.1","4057.8","0","3572","32540.3","15150.2","1788507","87124029","84915182592"
"55.97","24721.4","4057.8","0","3572","32528","15136.8","1790510","87140014","85023849472"
"56.33","24740.9","4057.8","0","3572","32537.9","15136.6","1794424","87186911","85255191552"
"56.69","24733.5","4057.8","0","3572","32537.7","15140.9","1794781","87267546","85570861568"
"57.05","24732.4","4057.8","0","3572","32537.9","15140.5","1795151","87347208","85887654400"
"57.41","24730.8","4057.8","0","3572","32537.7","15140.8","1795465","87419906","86191716864"
"57.77","24718.3","4057.8","0","3572","32539.4","15153.2","1795911","87478018","86364929536"
"58.13","24667","4057.8","0","3572","32477.2","15152.5","1795939","87478146","86365158912"
